waypoint1	waypoint2	distance_m	duration_s
Mehrangarh Fort, Jodhpur, Rajasthan, India	Taj Mahal, Agra, Uttar Pradesh, India	589036	37014
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	891377	55377
Mehrangarh Fort, Jodhpur, Rajasthan, India	Amer Fort and Palace, Jaipur, Rajasthan, India	353092	22640
Mehrangarh Fort, Jodhpur, Rajasthan, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	585072	36634
Maharajah's Palace, Mysore, Karnataka, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	2005101	116033
Swaminarayan Akshardham, New Delhi, Delhi, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	605441	36887
Agra Fort, Agra, Uttar Pradesh, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	581554	36080
Mehrangarh Fort, Jodhpur, Rajasthan, India	Humayun's Tomb, New Delhi, Delhi, India	598733	36231
Mehrangarh Fort, Jodhpur, Rajasthan, India	Qutub Minar, New Delhi, Delhi, India	589395	35600
Mehrangarh Fort, Jodhpur, Rajasthan, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	990799	58171
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	278168	16513
Mehrangarh Fort, Jodhpur, Rajasthan, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	1634546	100591
Gandhi Smriti, New Delhi, Delhi, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	601355	36598
Mehrangarh Fort, Jodhpur, Rajasthan, India	Palace Of Maharana Pratap, Udaipur, Rajasthan, India	264887	18000
India Backwaters, Kochi, Kerala, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	2510348	145004
Golden Temple, Amritsar, Punjab, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	756928	48092
